,unique_id,district,site,chickens,cows,pigs,bikes,goats,sheep,ducks,pesticide,yield_kg_pa,plot_acres,can_kg,dap_kg,urea_kg,weed,seed_kg,hybrid,seed_kg_pa,seed_kg_ph,yield_kg_ph,country,year,season,crop,can_kg_pa,can_kg_ph,dap_kg_pa,dap_kg_ph,urea_kg_pa,urea_kg_ph,hh_num,basal_method,lime_kg,field_latitude,field_longitude,chicks,oxen,seed_type,plot_hectares,FAW,termites,striga,electricity,rabbits,flood,comp_source_manure,stemborer,mlnd,cutworms,msv,gls,distance_min,slope_angle_num,slope,seed_depth_num,guinea_fowl,hh_num_under18,distance_meter,fertility,drought,compost,comp_method,comp_quality,prev_season_lime_kg,hybridseed_kg_pa,aphids,localseed_kg_pa,lime_kg_pa,lime_kg_ph,localseed_kg_ph,hybridseed_kg_ph,comp_kg_pa,comp_wb_pa,prev_season_yield,hh_num_under5,npk_kg,lime_method,prev_season_npk_kg,prev_season_dap_kg,prev_season_can_kg,prev_season_urea_kg,chicken_binary,goats_binary,cows_binary,radio_binary,bikes_binary,npk_kg_pa,pest_disease,comp_source,localseed_kg,npk_kg_ph,dap_method,urea_method,heavy_rain,comp_kg_ph,npk_method,hail,plants_sqm_spacing,planting_method,anthracnose,blight,row_spacing,plant_spacing,slope_angle_des,seed_depth_est,harvest_date,plant_date,hybridseed_kg,stalk_rot,kelnel_rot,sitename,site_longitude,site_latitude
29571,b16e2559,Rutsiro,nganzoA,8.0,1.0,0.0,0.0,0.0,4.0,,0.0,630.3761,0.123564183712006,,,,2.0,,1.0,,,1557.6909,Rwanda,2016,a season,maize,,,233.4727,576.92273,233.4727,576.92273,,,,-1.79145566571825,29.3068799686367,,,sc_637,0.0500047281384468,,,,1.0,,,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,4046.8601,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,apply in hole,,9999.9941,,,,,,,80.0,40.0,,,2016-03-03,2015-09-11,,,,,29.30016205,-1.795746491
29577,d1bb83da,Kibogora,Cyimpindu A,2.0,0.0,1.0,0.0,1.0,0.0,,0.0,1204.3456,0.0494256727397442,,,,2.0,,0.0,,,2975.998,Rwanda,2016,a season,maize,,,40.468601,99.999939,8.0937204,19.999989,,,,-2.28327897947424,29.2223196770698,,,nsp,0.0200018901377916,,,,1.0,,,,,,,,,,,,,,,,,,1.0,hole,average,,0.0,,,,,,0.0,6070.29,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,apply in hole,,14999.99,,,,,,,,,,,2016-02-15,2015-09-20,,,,,29.22729569,-2.278404211
29581,acb2142a,Nyamasheke,Buvungira B,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,1214.058,0.0247128363698721,,,,3.0,,1.0,,,2999.998,Rwanda,2016,a season,maize,,,42.154804,104.16663,42.154804,104.16663,,,,-2.41140760778744,29.0901419078055,,,nsp,0.0100009450688958,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,3642.1741,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,broadcast,,8999.9941,,,,,,,75.0,40.0,,,2016-01-25,2015-09-22,,,,,29.10786367,-2.455110287
29589,13fc191f,Rubengera,MUBUGA  R,0.0,2.0,1.0,0.0,0.0,0.0,,1.0,1770.5012,0.0617820918560028,,,,2.0,,1.0,,,4374.9971,Rwanda,2016,a season,maize,,,0.0,0.0,0.0,0.0,,,,-2.08681044401397,29.4876714004386,,,nsp,0.0250023640692234,,,,1.0,,,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,404.686,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,broadcast,,999.99933,,,,,,,75.0,40.0,,,2016-03-05,2015-09-14,,,,,29.50708188,-2.093928153
29598,ccad678e,Nyanza,Nyamure,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0494256727397442,,,,1.0,,0.0,,,0.0,Rwanda,2016,a season,maize,,,0.0,0.0,0.0,0.0,,,,-2.34603008015178,29.8349752423306,,,nsp,0.0200018901377916,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,40.0,20.0,,,2016-01-25,2015-09-18,,,,,29.81091476,-2.356720031
29610,ae6aa946,Rutsiro,Terimbere,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,2309.7454,0.0247128363698721,,,,1.0,,1.0,,,5707.4961,Rwanda,2016,a season,maize,,,161.8744,399.99976,0.0,0.0,,,,-1.74872167995175,29.3408894178812,,,pan_691,0.0100009450688958,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,6070.29,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,,,14999.99,,,,,,,75.0,40.0,,,2016-02-26,2015-09-20,,,,,29.33884802,-1.755245308
29613,5f49f37d,Rutsiro,Nyarubuye,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3566.2957,0.0494256727397442,,,,1.0,,0.0,,,8812.4951,Rwanda,2016,a season,maize,,,168.61919,416.66644,168.61919,416.66644,,,,-1.95823765334249,29.3357548741869,,,pan4m21,0.0200018901377916,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,average,,0.0,,,,,,0.0,5058.5752,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,apply in hole,,12499.992,,,,,,,60.0,60.0,,,2016-01-20,2016-01-20,,,,,29.33957347,-1.951640691
29626,d009b7a8,Rutsiro,Bushaka,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,2162.5408,0.0494256727397442,,,,2.0,,1.0,,,5343.7466,Rwanda,2016,a season,maize,,,0.0,0.0,0.0,0.0,,,,-1.89207565368862,29.2890295555313,,,nsp,0.0200018901377916,,,,1.0,,,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,4046.8601,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,apply in hole,,9999.9941,,,,,,,90.0,85.0,,,2016-01-25,2015-09-08,,,,,29.26328543,-1.904926411
29633,f9aa5654,Mugonero,Bisesero,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,857.42847,0.0469543896615505,,,,2.0,,1.0,,,2118.7485,Rwanda,2016,a season,maize,,,16.187441,39.999977,29.137394,71.999954,,,,-2.15513487943314,29.3496994565247,,,nsp,0.0190017968416214,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,average,,0.0,,,,,,0.0,1277.9559,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,apply in hole,,3157.8931,,,,,,,,,,,2016-02-25,2015-09-25,,,,,29.33849058,-2.172679707
29680,8f7a6b97,Kibogora,Vugangoma B,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,582.7478,0.123564183712006,,,,2.0,,0.0,,,1439.9989,Rwanda,2016,a season,maize,,,16.187441,39.999977,0.0,0.0,,,,-2.30847565286298,29.1951132534419,,,nsp,0.0500047281384468,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,16187.44,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,,,39999.977,,,,,,,,,,,2016-02-16,2015-10-25,,,,,29.18328102,-2.314829658
