,unique_id,district,site,chickens,cows,pigs,bikes,goats,sheep,ducks,pesticide,yield_kg_pa,plot_acres,can_kg,dap_kg,urea_kg,weed,seed_kg,hybrid,seed_kg_pa,seed_kg_ph,yield_kg_ph,country,year,season,crop,can_kg_pa,can_kg_ph,dap_kg_pa,dap_kg_ph,urea_kg_pa,urea_kg_ph,hh_num,basal_method,lime_kg,field_latitude,field_longitude,chicks,oxen,seed_type,plot_hectares,FAW,termites,striga,electricity,rabbits,flood,comp_source_manure,stemborer,mlnd,cutworms,msv,gls,distance_min,slope_angle_num,slope,seed_depth_num,guinea_fowl,hh_num_under18,distance_meter,fertility,drought,compost,comp_method,comp_quality,prev_season_lime_kg,hybridseed_kg_pa,aphids,localseed_kg_pa,lime_kg_pa,lime_kg_ph,localseed_kg_ph,hybridseed_kg_ph,comp_kg_pa,comp_wb_pa,prev_season_yield,hh_num_under5,npk_kg,lime_method,prev_season_npk_kg,prev_season_dap_kg,prev_season_can_kg,prev_season_urea_kg,chicken_binary,goats_binary,cows_binary,radio_binary,bikes_binary,npk_kg_pa,pest_disease,comp_source,localseed_kg,npk_kg_ph,dap_method,urea_method,heavy_rain,comp_kg_ph,npk_method,hail,plants_sqm_spacing,planting_method,anthracnose,blight,row_spacing,plant_spacing,slope_angle_des,seed_depth_est,harvest_date,plant_date,hybridseed_kg,stalk_rot,kelnel_rot,sitename,site_longitude,site_latitude
29556,874d18ad,Rutsiro,kabona,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,2810.3193,0.0247128363698721,,,,1.0,,,,,6944.4395,Rwanda,2016,a season,potato,,,0.0,0.0,0.0,0.0,,,,-1.89560424050316,29.4616037787137,,,,0.0100009450688958,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,average,,0.0,,,,,,0.0,1214.058,,,,,,,,,,,,,,,0.0,1.0,,,0.0,,,,2999.998,,,,,,,,,,,2016-03-24,2015-12-26,,,,,29.46489295,-1.94426252
29557,670007f2,Rutsiro,Kabona,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,5508.2256,0.0247128363698721,,,,1.0,,,,,13611.101,Rwanda,2016,a season,potato,,,0.0,0.0,0.0,0.0,,,,-1.93356253472726,29.4693401823163,,,,0.0100009450688958,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,4046.8601,,,,,broadcast,,,,,,,,,,168.61919,0.0,,,416.66644,,,,9999.9941,apply in hole,,,,,,,,,,2016-01-21,2015-10-21,,,,,29.46489295,-1.94426252
29559,810316a1,Rutsiro,MuyiraA,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,3569.1057,0.0247128363698721,,,,1.0,,,,,8819.4385,Rwanda,2016,a season,potato,,,0.0,0.0,0.0,0.0,,,,-1.9128800490153,29.4557471896017,,,,0.0100009450688958,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,average,,0.0,,,,,,0.0,1214.058,,,,,,,,,,,,,,,0.0,1.0,,,0.0,apply in hole,apply in hole,,2999.998,,,,,,,,,,,2016-03-30,2016-01-03,,,,,29.43955818,-1.914985933
29583,86b3d0f2,Rutsiro,MuyiraA,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,2138.0913,0.0741385072469711,,,,1.0,,,,,5283.3306,Rwanda,2016,a season,potato,,,161.8744,399.99976,161.8744,399.99976,,,,-1.91271704709043,29.4549311622505,,,,0.03000283613801,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,average,,0.0,,,,,,0.0,539.58118,,,,,,,,,,,,,,,0.0,1.0,,,0.0,apply in hole,apply in hole,,1333.332,,,,,,,,,,,2016-03-30,2016-01-03,,,,,29.43955818,-1.914985933
29592,1063ecfa,Rutsiro,Terimbere,0.0,2.0,1.0,0.0,1.0,0.0,,1.0,4046.8601,0.0617820918560028,,,,2.0,,,,,9999.9941,Rwanda,2016,a season,potato,,,0.0,0.0,0.0,0.0,,,,-1.75376082749354,29.339619058169,,,,0.0250023640692234,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,4046.8601,,,,,,,,,,,,,,,0.0,1.0,,,0.0,,,,9999.9941,,,,,,,40.0,40.0,,,2016-01-13,2015-10-27,,,,,29.33884802,-1.755245308
29594,063e1baf,Rutsiro,Kabona,3.0,0.0,0.0,0.0,0.0,2.0,,1.0,3456.6931,0.0247128363698721,,,,1.0,,,,,8541.6611,Rwanda,2016,a season,potato,,,0.0,0.0,0.0,0.0,,,,-1.93770830455104,29.4570437506466,,,,0.0100009450688958,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,6070.29,,,,,,,,,,,,,,,0.0,1.0,,,0.0,,,,14999.99,,,,,,,,,,,2016-01-18,2015-11-15,,,,,29.46489295,-1.94426252
29623,e87982ee,Rutsiro,muyiraB,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,1743.5225,0.0494256727397442,,,,1.0,,,,,4308.3311,Rwanda,2016,a season,potato,,,0.0,0.0,0.0,0.0,,,,-1.93305159523656,29.4387533590992,,,,0.0200018901377916,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,average,,0.0,,,,,,0.0,1011.715,,,,,,,,,,,,,,,0.0,1.0,,,0.0,,,,2499.9985,,,,,,,50.0,45.0,,,2016-03-24,2016-01-15,,,,,29.43955818,-1.914985933
29665,f9d20c98,Rutsiro,Terimbere,2.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0494256727397442,,,,2.0,,,,,0.0,Rwanda,2016,a season,potato,,,0.0,0.0,0.0,0.0,,,,-1.76143316281048,29.3440149070948,,,,0.0200018901377916,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,5058.5752,,,,,broadcast,,,,,,,,,,0.0,0.0,,,0.0,,,,12499.992,apply in hole,,,,,,40.0,40.0,,,2016-01-28,2015-09-20,,,,,29.33884802,-1.755245308
29727,723cd615,Rutsiro,Haniro,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,3965.9229,0.04324746504426,,,,1.0,,,,,9799.9941,Rwanda,2016,a season,potato,,,0.0,0.0,0.0,0.0,,,,-1.94372948126997,29.4346510716263,,,,0.0175016559660435,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,average,,0.0,,,,,,0.0,6937.4756,,,,,apply in hole,,,,,,,,,,0.0,1.0,,,0.0,,,,17142.85,apply in hole,,,,,,30.0,30.0,,,2016-03-30,2015-12-31,,,,,29.44384391,-1.959739983
29733,04ab21a9,Rutsiro,Haniro,3.0,3.0,0.0,0.0,0.0,0.0,,1.0,5989.353,0.0741385072469711,,,,1.0,,,,,14799.991,Rwanda,2016,a season,potato,,,0.0,0.0,0.0,0.0,,,,-1.9503390851237,29.434857234604,,,,0.03000283613801,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,average,,0.0,,,,,,0.0,6070.29,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,14999.99,apply in hole,,,,,,60.0,40.0,,,2016-01-11,2015-09-25,,,,,29.44384391,-1.959739983
